Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1616764095.0318913,75303,1616764093,966600064,fcu,-0.03064584055972119,0.019081407236405574,-0.9902260289238343,-0.13471875888680235,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0013594776391983032,0.0023656077682971954,0.0002578999847173688,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.9610517000000001,-0.2451662499999988,9.79684335,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.03195,75304,1616764094,6600064,fcu,-0.03062088289194276,0.019185062950008554,-0.9902346296005156,-0.13464647500195331,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0023343218490481377,0.0033537372946739197,0.00142670189961791,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.4903325,-0.24516624999999878,9.89490985,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.0322542,75305,1616764094,47600064,fcu,-0.030608259528610734,0.01917634102620306,-0.9902427248976912,-0.13459104049182186,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0031726378947496414,0.0022720620036125187,0.002434065099805593,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.28439285000000003,-0.1569063999999988,9.85568325,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.032753,75306,1616764094,87601088,fcu,-0.03058736356779359,0.019167467480330446,-0.9902523888410932,-0.13452593718265016,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0025794897228479385,0.0028733722865581517,0.0029229284264147277,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.69627215,-0.3138127999999988,9.9047165,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.0330286,75307,1616764094,126601088,fcu,-0.030535618531945953,0.019170030824563318,-0.9902631074165972,-0.13445840995892294,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0009925668127834797,0.00370432622730732,0.0027033882215619083,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.87279185,-0.2843928499999988,9.7085835,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.0332274,75308,1616764094,166602624,fcu,-0.030640255832011642,0.019199023622049463,-0.9902805962673208,-0.13430157434277673,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0010771849192678928,0.0012310035526752478,0.004441524855792522,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.8237586,-0.3040061499999988,9.99297635,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.0333896,75309,1616764094,206602624,fcu,-0.030432769057090463,0.019195310662093925,-0.9903082008993336,-0.13414564416196506,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0004363730549812317,0.003059929236769677,0.0065137543715536594,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.8629852,-0.2157462999999988,9.7281968,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.033444,75310,1616764094,246602624,fcu,-0.03050534504356181,0.019257525767078187,-0.9903126343938344,-0.13408750048027263,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00241048913449049,0.004574693739414216,0.0055512581020593635,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.34323275,-0.3138127999999988,9.95374975,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.0338578,75311,1616764094,287603136,fcu,-0.0303099063935924,0.01913085035830611,-0.9903469188087186,-0.13389660393399505,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0004156408831477165,0.004230566322803498,0.0057276557199656955,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.55897905,-0.33342609999999884,9.83606995,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1616764095.0341,75312,1616764094,326603136,fcu,-0.030405490597785464,0.019193258941363533,-0.9903524705689655,-0.13382491916927963,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.500375896692276e-05,0.0046947766095399865,0.006000665947794913,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.55897905,1.2033701897924109e-15,9.8262633,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
